% function evaluation | noise-free fitness - Fopt (7.948000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.977281728e+01 +8.977281728e+01 +1.692528173e+02 +1.692528173e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
14 +8.517095398e+01 +8.517095398e+01 +1.646509540e+02 +1.646509540e+02 -2.3250e-02 +8.8912e-02 -1.6084e-01 +9.6500e-02 +9.1054e-02 +5.1615e-02 +1.7213e-01 -2.5499e-01 +1.6902e-01 -1.6305e-01 -1.2705e-01 +1.0122e-02 +4.8803e-01 -1.4298e-01 +6.6001e-03 -6.0443e-03 +1.4515e-01 -2.7377e-01 +1.0442e-01 +6.7056e-02
19 +8.242771265e+01 +8.242771265e+01 +1.619077126e+02 +1.619077126e+02 +1.1630e-01 -9.2464e-03 -1.7704e-01 -3.3714e-02 +1.4442e-02 +1.1373e-01 +2.0414e-01 -4.4635e-01 -2.3573e-02 -3.5077e-02 +1.8070e-01 +2.1170e-01 +1.8193e-01 -1.2901e-01 +2.7430e-01 +3.0696e-01 -2.1246e-02 -3.6745e-01 +4.5448e-01 -2.6315e-01
26 +8.094963962e+01 +8.094963962e+01 +1.604296396e+02 +1.604296396e+02 -2.2608e-01 +4.2693e-01 -1.0916e-01 +1.6790e-01 +7.0551e-03 +2.6771e-01 -2.9268e-01 +3.8414e-02 +4.1733e-01 -5.9993e-01 -9.4041e-02 -9.3846e-02 +2.4727e-01 +2.3137e-01 +2.0431e-01 +6.0151e-03 +3.4216e-02 -4.9885e-01 +2.9718e-01 +1.3418e-01
29 +7.771420510e+01 +7.771420510e+01 +1.571942051e+02 +1.571942051e+02 -2.6113e-01 +2.1093e-01 -6.3558e-02 +1.5913e-03 +5.9295e-02 +1.3990e-01 +5.1427e-02 -3.6448e-01 +2.1892e-01 -6.2335e-01 -2.9002e-01 +2.4847e-01 +3.8129e-01 +4.9969e-02 +3.2719e-01 +1.9381e-01 +1.5531e-01 -2.6817e-01 +2.3022e-01 +1.3988e-01
42 +7.624380290e+01 +7.624380290e+01 +1.557238029e+02 +1.557238029e+02 +1.0006e-02 +1.5651e-01 -1.5960e-02 +1.1277e-01 +2.1769e-01 +2.6122e-01 -9.0355e-03 -1.5064e-02 +3.2060e-01 -5.9108e-01 -3.1795e-01 +9.6266e-03 +4.4507e-01 +3.6732e-01 +5.9025e-01 +2.1685e-01 -2.8011e-01 -3.7460e-01 +3.3410e-01 +9.2772e-03
52 +7.577787531e+01 +7.577787531e+01 +1.552578753e+02 +1.552578753e+02 -1.2390e-01 +1.1407e-01 -8.1356e-02 +6.2250e-03 +1.9760e-03 +2.7781e-01 +4.3437e-02 -9.8840e-02 +3.3919e-01 -8.2168e-01 -2.6313e-01 -9.7263e-02 +5.8912e-01 +6.2299e-01 +6.0419e-01 +6.4491e-02 -2.4214e-01 -5.1846e-01 +2.3408e-01 -9.7300e-02
54 +7.261635261e+01 +7.261635261e+01 +1.520963526e+02 +1.520963526e+02 +4.6962e-01 +3.1990e-01 +6.2592e-02 +2.9757e-01 +9.1182e-02 +2.2868e-01 -9.3209e-02 +2.5108e-01 +1.9483e-01 -5.0593e-01 -4.0010e-01 -7.2897e-02 +8.2890e-01 +3.7309e-01 +4.1107e-01 +2.9378e-01 +4.4240e-02 -8.2382e-01 +3.2418e-01 +2.8659e-03
58 +7.239248045e+01 +7.239248045e+01 +1.518724805e+02 +1.518724805e+02 +1.3242e-01 +4.1104e-01 +2.1275e-01 +5.7355e-01 +1.4923e-01 +3.1583e-01 -1.7623e-02 +3.6949e-02 +1.6211e-01 -4.8296e-01 -3.5406e-01 -1.1202e-01 +8.4273e-01 +1.7056e-01 +4.7670e-01 +3.5510e-01 -2.6175e-01 -4.9065e-01 +7.0637e-01 +2.2456e-01
63 +6.506160959e+01 +6.506160959e+01 +1.445416096e+02 +1.445416096e+02 +1.4884e-01 +2.4356e-01 +9.1334e-02 +4.2666e-01 -3.6415e-01 +1.1959e-01 +1.4035e-01 -1.5892e-01 +8.1712e-02 -6.9960e-01 -5.4159e-01 +2.8607e-01 +3.2052e-01 +2.7608e-01 +4.1169e-01 +6.2962e-01 +4.9583e-02 -7.0629e-01 +5.4174e-01 -5.8978e-02
