% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.124201902e+02 +9.124201902e+02 +4.503301902e+02 +4.503301902e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
2 +8.413140464e+02 +8.413140464e+02 +3.792240464e+02 +3.792240464e+02 -1.0060e-01 -4.5403e-03 +3.0076e-01 +4.6342e-02 +1.1967e-01 +2.5345e-01 -1.2857e-01 +1.7357e-01 +1.1856e-01 -1.8294e-01 -2.8310e-02 -1.4629e-01 -1.1507e-01 +7.0695e-02 -1.2630e-01 -5.7822e-01 +1.0660e-01 -8.4369e-02 -1.8640e-01 +1.1521e-01
13 +8.119996751e+02 +8.119996751e+02 +3.499096751e+02 +3.499096751e+02 -1.5242e-01 -1.2756e-01 +1.5110e-01 -1.1591e-01 +1.1564e-01 +3.3665e-01 -5.3943e-01 -1.9575e-01 +2.9893e-01 +1.3215e-01 -8.4776e-02 -2.7420e-01 +2.1038e-01 +1.9757e-01 -3.5236e-02 -6.5268e-01 +1.1162e-01 +7.6764e-02 +3.1677e-02 +1.0222e-02
21 +7.520773513e+02 +7.520773513e+02 +2.899873513e+02 +2.899873513e+02 +6.0076e-02 +1.6948e-01 -2.2216e-01 -3.0442e-02 +9.1198e-02 +3.9739e-01 -1.8350e-01 -7.0734e-02 +4.2839e-01 +7.2342e-02 +1.1615e-01 -6.1725e-01 +3.0417e-01 -1.2744e-01 -4.2164e-01 -6.3552e-01 +4.1011e-01 -2.9027e-01 -4.1394e-01 +1.3783e-01
26 +7.078345569e+02 +7.078345569e+02 +2.457445569e+02 +2.457445569e+02 +1.4140e-01 -1.9378e-01 +2.7761e-01 +9.5447e-02 -1.6831e-01 +6.6500e-01 -1.3899e-01 -2.3036e-01 +4.1979e-01 -1.1468e-02 -9.9421e-02 -6.7085e-01 -7.8059e-02 -1.0859e-01 -5.0566e-01 -1.1589e+00 +1.4666e-01 +4.6377e-02 +6.7921e-02 +8.6354e-02
47 +6.797052586e+02 +6.797052586e+02 +2.176152586e+02 +2.176152586e+02 -3.0871e-01 -3.5735e-01 -3.6111e-01 -2.1323e-01 -7.0454e-01 +8.4217e-01 +1.8093e-01 +2.5205e-01 +6.6967e-01 +2.5783e-01 -2.1582e-01 -2.4783e-01 +2.5647e-01 -1.0288e-01 -4.5184e-01 -1.1565e+00 -2.4272e-03 -6.8348e-02 -3.8126e-01 +4.4508e-01
50 +6.523965240e+02 +6.523965240e+02 +1.903065240e+02 +1.903065240e+02 -2.6195e-01 +3.5446e-02 +2.1456e-01 +1.2818e-01 -8.2914e-01 +1.4154e+00 +1.6093e-01 -6.5004e-02 -1.8462e-02 +5.0550e-03 -2.7747e-01 -7.0414e-01 +2.8170e-01 +2.3873e-01 +2.7070e-01 -1.3005e+00 +3.1194e-01 +4.9263e-01 -5.0276e-01 +6.8386e-01
53 +6.186514208e+02 +6.186514208e+02 +1.565614208e+02 +1.565614208e+02 -1.1449e-01 +2.9408e-01 -2.2238e-01 -3.7696e-03 -1.8221e-01 +9.3824e-01 +1.6196e-01 +2.1989e-01 +1.9567e-01 -5.5827e-02 -5.3233e-01 -7.1199e-01 +7.6338e-01 -6.3117e-02 -2.8785e-01 -6.3695e-01 +3.1056e-02 +2.7436e-01 -8.4697e-01 +5.5903e-01
66 +5.896031088e+02 +5.896031088e+02 +1.275131088e+02 +1.275131088e+02 -6.6418e-01 +1.3476e-01 -1.3740e-01 +2.3123e-01 +1.3710e-01 +1.3219e+00 +4.0859e-01 +5.6771e-01 +5.0500e-01 +4.2925e-03 -5.1239e-01 -6.1113e-01 +9.1534e-01 -5.0513e-01 +3.2630e-02 -1.2568e+00 -2.5683e-01 +1.6533e-01 -8.3518e-01 +5.8325e-01
69 +5.764317778e+02 +5.764317778e+02 +1.143417778e+02 +1.143417778e+02 -4.7675e-01 +2.5287e-01 -5.3297e-01 +1.6808e-01 -6.9068e-03 +1.2126e+00 -1.3945e-01 +6.1509e-01 -3.1454e-02 -3.5677e-02 -5.4712e-01 -8.8468e-01 +1.0107e+00 +7.8257e-02 -1.3275e-01 -8.3626e-01 -1.2838e-02 +3.4116e-01 -9.9566e-01 +5.5774e-01
